Country Name,Year,Value_FDI,Value_GDP,Value_Inflation,Value_Trade,Value_Unemployment,Value_WDI
Aruba,2000,-127932960.9,7.622920649,4.044021312,145.0728795,0.0,111.7909698
Africa Eastern and Southern,2000,4315009017.0,3.219802994,8.601485149,47.12027679,7.409351572,78.73937988
Afghanistan,2000,170000.0,0.0,0.0,0.0,7.955,22.16299057
Africa Western and Central,2000,2560094796.0,3.859760263,2.530775167,0.0,4.627660078,82.69599152
Angola,2000,878620000.0,3.054624234,324.9968716,0.0,16.502,0.0
Albania,2000,143000000.0,6.946216592,0.050018136,63.45407313,19.023,109.1253433
Andorra,2000,0.0,3.528362361,0.0,0.0,0.0,0.0
Arab World,2000,3840491008.0,6.598100731,1.853790353,72.38413268,12.34348099,86.70915222
United Arab Emirates,2000,-506330000.0,10.85270422,0.0,0.0,2.25,0.0
Argentina,2000,10418314339.0,-0.788998939,0.0,22.62244478,15.0,117.2811737
Armenia,2000,104188500.0,5.900000003,-0.790883769,72.23333023,11.097,88.33853149
American Samoa,2000,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2000,96504370.16,6.203491677,0.771779797,0.0,0.0,134.4585571
Australia,2000,14892978180.0,3.921517829,4.457435148,40.93521098,6.288,101.5835419
Austria,2000,8501013450.0,3.375722147,2.344862854,85.36049562,4.694,101.8693924
Azerbaijan,2000,129937000.0,11.09999914,1.805003037,78.54856828,11.78,97.20748901
Burundi,2000,11683250.0,-0.856864058,24.43202421,22.55372449,3.145,60.71974182
Belgium,2000,88738714000.0,3.716679384,2.544517762,142.2301351,6.586,102.9073715
Benin,2000,-12794843.61,5.857714205,4.165404423,47.3481515,0.865,80.11121368
Burkina Faso,2000,23107520.0,1.888473889,-0.304212168,35.12294197,2.681,43.09059143
Bangladesh,2000,280384629.7,5.293294719,2.208256209,29.32171436,3.27,0.0
Bulgaria,2000,1001503842.0,4.587226859,10.31626213,77.74570416,16.218,104.7046738
Bahrain,2000,363562321.9,5.300070056,-0.704852953,135.8091353,1.138,93.94075012
"Bahamas, The",2000,250250000.0,4.148419308,1.606329417,79.64494389,7.235,0.0
Bosnia and Herzegovina,2000,146075610.9,5.41431595,0.0,85.35774313,25.473,0.0
Belarus,2000,118800000.0,5.800003361,168.6202359,141.609166,12.171,115.920929
Belize,2000,29564651.92,12.24061403,3.067439669,96.88969989,10.808,118.1492004
Bermuda,2000,66900000.0,9.317156411,0.0,0.0,0.0,0.0
Bolivia,2000,736350000.0,2.507810809,4.608229989,45.59777502,2.442,119.1320724
Brazil,2000,32994718700.0,4.387949447,7.044141059,22.63976136,10.892,0.0
Barbados,2000,73696943.91,4.447189623,2.435813035,90.5785259,9.35,101.8348999
Brunei Darussalam,2000,549607250.0,2.849421858,1.558152476,103.1716255,5.532,101.9319229
Bhutan,2000,0.0,3.355068305,4.012120811,74.02649711,1.652,80.78762817
Botswana,2000,57171341.35,1.987695834,8.601485149,91.92472969,15.88,103.396019
Central African Republic,2000,889070.0,-2.48943244,3.203400916,45.65978199,5.546,0.0
Canada,2000,68303350856.0,5.138539186,2.719439957,82.76535785,6.829,99.41776276
Central Europe and the Baltics,2000,23562956308.0,3.956858383,8.911744187,80.08117376,12.41386332,101.7056427
Switzerland,2000,23080879763.0,3.958719719,1.558529197,97.93685621,2.658,104.1527863
Channel Islands,2000,0.0,0.0,0.0,0.0,5.357,0.0
Chile,2000,4860015668.0,4.971621489,3.843272957,58.71192309,10.491,101.3635635
China,2000,42095300000.0,8.490093406,0.347811227,39.41103389,3.26,0.0
Cote d'Ivoire,2000,234701730.0,-0.265789462,2.530775167,54.96399163,4.835,70.50180817
Cameroon,2000,159708006.2,3.832417794,1.22719013,47.92794425,7.534,86.59738159
"Congo, Dem. Rep.",2000,94190400.0,-6.910927317,513.9068437,27.01440292,3.224,0.0
"Congo, Rep.",2000,-98141674.35,7.575980395,-0.881991517,123.9098844,19.854,83.05716705
Colombia,2000,2436459923.0,2.924861482,9.225348186,32.66708547,20.52,124.2982864
Comoros,2000,93640.0,10.84787862,0.0,35.75747855,4.402,97.86094666
Cabo Verde,2000,34202238.38,14.28486885,-2.477456685,87.52060836,13.116,116.8707275
Costa Rica,2000,723426415.3,3.868718091,10.96154966,86.52492353,5.08,109.7704926
Caribbean small states,2000,731507353.9,3.658960992,2.181818182,0.0,11.55002938,98.12375641
Cuba,2000,0.0,5.914760019,0.0,31.07598788,5.45,103.9719162
Curacao,2000,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,2000,9358723000.0,0.0,0.0,0.0,0.0,108.0188675
Cyprus,2000,854874285.7,5.965310315,4.141657647,137.4949422,4.766,96.73135376
Czechia,2000,4987079129.0,4.001028635,3.775388292,98.0463389,8.764,103.407547
Germany,2000,248007000000.0,2.912502964,1.440268387,61.526061,7.917,105.3920364
Djibouti,2000,3286049.482,0.0,0.0,0.0,26.862,33.93368149
Dominica,2000,17530960.34,2.340219321,0.856946805,0.0,0.0,118.29599
Denmark,2000,36013297907.0,3.746862595,2.903282032,82.98395105,4.476,99.67105103
Dominican Republic,2000,989000000.0,4.66176228,7.724135662,79.3003931,6.432,115.3086472
Algeria,2000,280100000.0,3.800000001,0.339163189,62.85834364,29.77,109.7766495
East Asia & Pacific (excluding high income),2000,48073062805.0,7.646578086,2.158518106,51.10187776,3.416237208,112.0506897
Early-demographic dividend,2000,51301541398.0,4.428178266,3.899529803,48.81857206,7.145866332,94.57730103
East Asia & Pacific,2000,175116000000.0,5.396241428,1.591969175,52.8551012,3.550258463,111.3141327
Europe & Central Asia (excluding high income),2000,4292919263.0,6.778814739,15.94081244,64.28558183,10.92574543,105.6512833
Europe & Central Asia,2000,855767000000.0,4.35525178,3.775388292,69.32189433,9.779987168,103.9629593
Ecuador,2000,-23439367.91,1.091801564,96.09637569,65.40429538,4.8,109.0243988
"Egypt, Arab Rep.",2000,1235000000.0,6.37000383,2.683805353,39.0179359,8.98,90.89424896
Euro area,2000,556047000000.0,3.861178194,2.9475656,70.80273079,9.504163113,103.659462
Eritrea,2000,27870110.0,-3.141985903,0.0,67.88136193,5.724,90.37248993
Spain,2000,40509751188.0,5.245943824,3.433515634,60.08233375,13.785,104.2245102
Estonia,2000,416214286.8,10.08763444,4.018489525,126.4956102,13.36,104.3249588
Ethiopia,2000,134640000.0,6.07321748,0.662458109,0.0,3.502,51.74644089
European Union,2000,633987000000.0,3.900525156,3.15076707,71.83849145,9.824088684,103.1819763
Fragile and conflict affected situations,2000,9383969703.0,5.463854139,3.822600881,0.0,5.955554943,76.49273682
Finland,2000,13502068645.0,5.773362458,3.042100807,74.89482711,11.135,99.71708679
Fiji,2000,591375.1146,-1.699998416,1.0921646,135.8956415,4.705,99.5651474
France,2000,41389082665.0,3.923669227,1.675959887,55.86124572,10.218,100.4282608
Faroe Islands,2000,0.0,0.0,0.0,110.5453534,0.0,0.0
"Micronesia, Fed. Sts.",2000,0.0,4.833903786,2.158518106,90.58883243,0.0,0.0
Gabon,2000,278061232.0,-1.882966398,0.504920026,101.7019289,17.827,0.0
United Kingdom,2000,164130000000.0,4.318727058,1.182956242,52.5217306,5.558,100.5862122
Georgia,2000,131466678.3,1.840381179,4.063962014,62.66139564,10.82,101.22995
Ghana,2000,165900000.0,3.700000082,40.24093312,116.0484302,10.456,79.70140839
Gibraltar,2000,0.0,0.0,0.0,0.0,0.0,105.9086838
Guinea,2000,9942000.0,2.503060563,0.0,36.67969549,4.591,58.6079483
"Gambia, The",2000,43520000.0,5.500000216,0.844969567,56.35981989,9.639,74.59557343
Guinea-Bissau,2000,702270.0,1.10027815,8.636320949,52.73734609,3.576,75.83841705
Equatorial Guinea,2000,154499590.0,18.21377996,4.802288869,0.0,8.033,83.4076004
Greece,2000,-8195469.288,3.91977053,3.151181625,58.41567734,11.345,101.2182693
Grenada,2000,57489395.58,4.887952137,2.181818182,0.0,0.0,92.64688873
Greenland,2000,0.0,7.101596882,0.0,0.0,0.0,0.0
Guatemala,2000,-788600000.0,3.608868717,5.977577347,49.1455879,2.605,99.08969116
Guam,2000,0.0,0.0,0.0,0.0,15.32,0.0
Guyana,2000,67100000.0,-1.363803903,6.14854333,206.7673705,11.901,97.93093872
High income,2000,1427660000000.0,4.259076223,2.686847367,52.15647427,7.139745508,101.3047028
"Hong Kong SAR, China",2000,70495739306.0,7.663440689,-3.685503686,247.6540204,4.92,99.18900299
Honduras,2000,349978000.0,7.291288159,11.04803493,120.3921646,3.881,102.7960205
Heavily indebted poor countries (HIPC),2000,4053413015.0,2.888998207,4.165404423,53.67789354,5.12819238,71.43286133
Croatia,2000,1015069997.0,2.956274614,4.611315547,74.62190235,16.064,0.0
Haiti,2000,13250000.0,0.870059259,9.333221976,27.15352206,8.441,0.0
Hungary,2000,2747712560.0,4.479194732,9.803610169,137.4066012,6.563,101.6920013
