Country,Country Code,Series,Series Code,2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2005M12 [2005M12],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023]
Advanced Economies,AME,"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Core CPI,seas.adj,,,",CORESA,86.38888817,87.86063621,89.4571988,90.70699685,91.99148767,93.3147732,93.92093919,94.76207545,96.40335716,98.17562236,99.48501427,100.3245081,101.7021918,103.2555534,104.5901869,106.098666,107.5853546,109.0863312,110.527468,112.1817316,113.8989397,115.1526988,117.5260705,122.8215048,128.5269496
Advanced Economies,AME,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,2.664163272,2.59966836,2.007804612,2.052283328,2.110185924,2.279801872,2.261246091,2.3192222,2.316411539,4.076207533,0.567721006,1.63656955,3.195789882,2.442925654,1.40591204,0.507784351,0.121137233,0.318349251,1.431656536,1.702692516,1.431346647,0.420746015,2.438115518,7.920065405,4.876724151
Advanced Economies,AME,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, seas. adj.,,,",CPTOTSAXN,84.05515887,85.76849765,86.96072796,88.4546133,90.0962325,91.99348655,92.87840196,94.01015841,95.95906385,99.06912863,99.10053086,100.4558634,102.9677795,104.8673547,106.1977311,107.642473,107.9776019,108.7640997,110.5408748,112.6415795,114.2028942,115.0036238,118.4041779,126.6179508,132.407532
Advanced Economies,AME,"CPI Price,not seas.adj,,,",CPTOTNSXN,84.39834887,86.10115534,87.29228919,88.78359507,90.42742254,92.34372426,92.97114028,94.36215865,96.30828452,99.43800196,99.46823254,100.8690558,103.437459,105.3657029,106.7208422,108.1779502,108.4841388,109.2453949,111.042339,113.1670383,114.7388134,115.5265634,118.9540116,127.3008455,133.1625732
Advanced Economies,AME,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,47.06181451,53.34770623,52.45361146,49.59035981,47.30676656,43.77984405,44.59622009,42.28355501,41.58988368,45.33867215,49.80075826,45.50070611,43.15777623,43.76837205,44.6048411,44.19281663,48.26529469,47.90953381,47.32578695,46.19246219,48.09639277,48.2986482,47.48349046,54.28176755,55.66519062
Advanced Economies,AME,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,6320673.383,6323367.251,6469029.971,6775845.633,7366973.961,7704178.025,665654.1171,8313268.341,8754562.488,8994131.645,7851199.005,8828568.037,9328497.354,9370559.414,9522920.064,9781691.653,9923723.252,10051233.4,10509427.67,10814743.32,10788396.65,10108801.56,10990090.92,11107610.15,11059639.48
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,6203616.791,6201698.698,6344649.923,6626532.571,7209888.297,7557299.977,655832.6251,8186805.848,8653905.987,8843801.534,7671050.141,8727966.646,9239314.637,9269260.528,9413102.949,9663321.622,9770902.679,9929494.625,10445629.4,10730112.27,10744382.7,10066977.36,10921537.79,11123770.09,11030582.55
