Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,111.7909698,112.1997604,115.83284,115.8085709,118.78936,119.5195923,120.5616226,120.456398,117.1131134,116.6041336,115.1635513,108.0773315,107.2135086,119.1998978,119.7803497,117.1070023,115.1849976,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,78.73937988,81.73696899,84.56513214,88.63018799,91.02198792,94.62032318,97.27435303,100.5860214,104.3992386,104.0487366,103.3735962,103.3436737,103.5401688,103.1059494,102.7218933,101.7207336,102.2486191,103.0417709,104.28936,105.2088089,106.161377,104.8954926,104.8826065,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,22.16299057,22.90859032,75.95974731,96.55368042,106.2526627,100.2296906,103.9322433,101.0864563,103.4139633,99.36972046,102.9034424,100.2902985,106.2834015,107.6959763,109.1155167,106.1824188,106.1502838,106.1299973,107.7805328,110.0075073,,,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,82.69599152,83.16815948,84.88159943,85.64588928,87.61100769,88.5914917,89.37703705,86.68208313,84.29917908,85.96044159,86.59049225,89.90659332,91.40486908,92.4282608,90.86116791,89.90393066,88.54860687,88.69741821,88.60693359,89.48088837,89.94068909,89.84069061,89.95304108,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,104.2333298,111.1099472,110.2017899,111.872879,126.2451477,,,,119.1422577,107.0270004,122.2350006,88.57499695,,,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,109.1253433,108.7552872,107.7091217,107.2691116,106.6347733,111.322403,109.8948975,109.8934097,110.6835709,108.0761108,108.4944611,109.7361221,110.6063004,110.9291077,114.0433197,113.3031387,110.9577332,109.7161636,107.4036789,104.310257,100.6136017,97.60494995,95.60671234,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,98.2305069,95.10906982,92.97863007,84.2615509,84.42799377,86.87206268,89.44644165,90.23799896,90.11556244,89.09091187,88.13487244,87.65351868,88.23529053,88.95535278,90.17194366,89.37107086,89.67447662,89.35289764,88.71708679,88.88407898,90.1473465,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,86.70915222,87.21636963,88.33278656,89.23110199,89.77567291,90.45913696,91.48280334,91.69174957,92.2233963,92.30471039,92.74977112,92.15852356,93.77722931,92.44206238,91.37806702,90.74698639,90.04871368,89.7441864,89.99685669,90.33982849,90.70529938,90.68164825,89.50662231,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,102.3497009,100.775383,99.46906281,99.65757751,99.70491028,97.98127747,,91.91954041,94.27706146,96.62016296,106.778038,111.8861313,118.9732513,125.6367264,116.8679276,111.8907776,,115.1487885,115.8331604,,,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,117.2811737,117.3070374,117.2992401,114.6765823,115.6678772,114.7447662,116.3161316,117.3506165,118.4370117,118.4015579,118.2347183,117.4637527,116.5163498,114.5092392,113.9618835,113.7781982,112.9442673,111.6814575,111.5456085,111.3653183,110.6178131,110.1561127,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,88.33853149,93.44167328,90.67430115,93.57198334,94.73773193,93.72631836,95.97692871,106.0735321,107.1063766,105.3227921,96.67951965,96.52017212,96.49410248,99.3458786,100.9155731,102.3826904,103.0617065,101.619812,100.0613098,97.32314301,96.62056732,93.80999756,92.9023819,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,
