,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Age,Nature,Reporting Type,Sex,Units
412524,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",1,World,2020,7.8,2016-20,"DHS, MICS, LFS and other national surveys","These estimates differ from the SDG indicator definition in that they also include children in hazardous industries and occupations. While these estimates represent only those surveys within the reference period of 2016 to 2020, they are still considered to reflect current levels of child labour both globally and regionally given that the prevalence of child labour does not fluctuate substantially on an annual basis. ",5-17,N,G,FEMALE,PERCENT
412525,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",1,World,2020,9.6,2016-20,"DHS, MICS, LFS and other national surveys","These estimates differ from the SDG indicator definition in that they also include children in hazardous industries and occupations. While these estimates represent only those surveys within the reference period of 2016 to 2020, they are still considered to reflect current levels of child labour both globally and regionally given that the prevalence of child labour does not fluctuate substantially on an annual basis. ",5-17,N,G,BOTHSEX,PERCENT
412526,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",1,World,2020,11.2,2016-20,"DHS, MICS, LFS and other national surveys","These estimates differ from the SDG indicator definition in that they also include children in hazardous industries and occupations. While these estimates represent only those surveys within the reference period of 2016 to 2020, they are still considered to reflect current levels of child labour both globally and regionally given that the prevalence of child labour does not fluctuate substantially on an annual basis. ",5-17,N,G,MALE,PERCENT
412527,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",4,Afghanistan,2023,15.6,2022-23,"MICS 2022-23, UNICEF and ILO calculations",,5-17,CA,G,MALE,PERCENT
412528,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",4,Afghanistan,2023,10.9,2022-23,"MICS 2022-23, UNICEF and ILO calculations",,5-17,CA,G,FEMALE,PERCENT
412529,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",4,Afghanistan,2023,13.3,2022-23,"MICS 2022-23, UNICEF and ILO calculations",,5-17,CA,G,BOTHSEX,PERCENT
412530,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",8,Albania,2010,2.8,2010,"CLS 2010, ILO Harmonized Microdata, https://ilostat.ilo.org/",,5-17,CA,G,BOTHSEX,PERCENT
412531,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",8,Albania,2010,2.1,2010,"CLS 2010, ILO Harmonized Microdata, https://ilostat.ilo.org/",,5-17,CA,G,FEMALE,PERCENT
412532,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",8,Albania,2010,3.4,2010,"CLS 2010, ILO Harmonized Microdata, https://ilostat.ilo.org/",,5-17,CA,G,MALE,PERCENT
412533,8,8.7,8.7.1,SL_TLF_CHLDEA,"Proportion of children engaged in economic activity, by sex and age  (%)",12,Algeria,2019,1.9,2018-19,"MICS 2018-19, UNICEF and ILO calculations",,5-17,C,G,BOTHSEX,PERCENT
