,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Units
424757,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2008,4.1192,2008,UNWTO Estimates,  ,N,G,PERCENT
424758,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2009,4.00021,2009,UNWTO,  ,N,G,PERCENT
424759,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2010,3.99028,2010,UNWTO,  ,N,G,PERCENT
424760,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2011,3.93274,2011,UNWTO,  ,N,G,PERCENT
424761,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2012,3.94933,2012,UNWTO,  ,N,G,PERCENT
424762,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2013,4.02288,2013,UNWTO,  ,N,G,PERCENT
424763,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2014,3.857,2014,UNWTO,  ,N,G,PERCENT
424764,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2015,3.96369,2015,UNWTO,  ,N,G,PERCENT
424765,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2016,3.94335,2016,UNWTO,  ,N,G,PERCENT
424766,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2017,3.75672,2017,UNWTO,  ,N,G,PERCENT
424767,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2018,3.76987,2018,UNWTO,  ,N,G,PERCENT
424768,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2019,3.75621,2019,UNWTO,  ,N,G,PERCENT
424769,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2020,1.79934,2020,UNWTO,  ,N,G,PERCENT
424770,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2021,2.48384,2021,UNWTO,  ,N,G,PERCENT
424771,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),1,World,2022,3.06579,2022,UNWTO,  ,N,G,PERCENT
424772,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2008,2.75707,2008,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424773,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2009,2.66869,2009,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424774,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2010,2.81234,2010,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424775,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2011,2.53477,2011,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
424776,8,8.9,8.9.1,ST_GDP_ZS,Tourism direct GDP as a proportion of total GDP (%),8,Albania,2012,2.35697,2012,Institute of Statistics,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,G,PERCENT
