Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,272088145.4,208344037.2,-26881396.99,27550827.1,162456842.3,144146269.4,-75226540.68,161066979.1,133545121.2,248150282.6,-177942150
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4315009017,12205013774,6464122720,8555151107,7979693795,10333881073,7234542924,16122287676,22483230617,18484263836,13934876540,17538712523,24636341951,21534247724,27691401151,28638672651,16660273376,10328975518,13594659433,14927298402,13652728096,54413845116,20650356592,21114247401
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,20600980,,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2560094796,3224338693,4408519418,5262166819,4653748706,9278129445,9202356524,13030657208,16317443291,18159745860,18874323021,24501138032,20912687296,19157553407,16598028192,16597546704,15648122109,17742426799,14952295848,12821862479,10985178644,17014131204,16601784677,16638105995
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748,-1866468113,-4355116553,-6598652652,-2119632186
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364,1201022154,1069744880,1218586452,1441381891,1614450267
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3840491008,8899597176,6159576366,14595559433,21373075481,38336974237,57164037968,63693369753,54801432358,40656588740,45647503423,33243608526,42932591403,35765830417,24540020180,21337111052,47085439652,30527077377,42865771096,34353874100,32414833223,63694521960,76316106147,67172771612
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-506330000,1183840000,95300000,4255956430,10003500000,10899931930,12805990470,14186521440,5062972000,1134288140,8796769640,7152095830,9566651350,9764914530,11071537020,8550901850,9604773000,10354223000,10385286000,17874660000,19884470000,20667120000,22736560000,30687540000
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4884127676,6658049679,15200600518,23866141440
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,104188500,69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333823945.5,252747990.7,266855048.8,100287214.4,58582750.12,366445214.8,998055425.4,580365078.7
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,96504370.16,145813879.5,92910942.69,120216017.6,104576495.7,123754285.4,288731522.1,346552079,153573370.7,83981325.73,93722574.32,69631054.05,124833151,92885388.56,46263101.05,114024660.1,97431976.47,151271628.2,202333092.3,133908540.3,106204179.2,289857032.5,301726890.4,300597732.2
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,14892978180,10717133151,14656321801,8985246030,42907672820,-25093141435,30551100657,44440876037,45170097261,28932973453,35554698682,65578266556,57571285655,54472699004,63204516348,46892808568,42970225978,48199372040,60686639530,38745129661,15841437866,27804057511,68678063584,32744696159
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8501013450,5689434550,138346430,6195021860,3183649650,81096089418,10500457158,68865787583,6301143682,14300064389,-22007325156,22983942932,5218620113,451107665.2,1712175274,-7975773544,-28939340169,13518864836,-28605757320,-12394032433,-12432935050,17776438776,10114413567,-667971633.4
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,129937000,819579000,2024577000,4007330000,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,2619437000,4430466000,4047630000,4499666000,2867487000,1402998000,1503918000,507151800,-1707666000,-4474481000,252836000
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11683250,-11440.9127,,,44690.7076,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181,604919.6515,116727136.5,91728105.46,7360447.709,55456.61861,221005514.2,6663532.444,30289708.91,21226213.04,22377441.91,25285988.37,34127983.54
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,88738714000,88203254000,18118954671,34559267490,44498165771,33662010794,58821552824,96551634531,1.90392E+11,77354509260,1.25492E+11,1.63624E+11,11810272331,-29640924980,-15205871358,-19514245855,57538351507,-37288840312,-41601387267,-21379939833,-27359654516,29515817108,12484998787,-20003313983
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-12794843.61,16739539.34,-19395622.7,10638088.26,-40774605.06,-8788860.127,-12363482.36,139189943,48210757.85,-18807407.38,53507087.74,161302390.8,281548556.3,360343380.3,405737369.1,149755663.3,131790853.8,200902719.3,194073683.2,218207871.7,174019952.1,345985235.7,375988902.2,433851310
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,23107520,6267060,15026080,29122510,14348320,52130040.88,83849256.07,21711800.9,33190579.88,56653992.33,38870701.36,143845512.3,329281976,490403410.5,357296974.3,231901703.7,390622353.4,2572690.322,268414907.9,162970140.3,-98777856.01,-79957355.34,669738240.9,85354490
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,280384629.7,78527040.08,52304931.04,268285231.8,448905400.7,813321971.9,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163,1584403460,2602962095,2539190940,2831152765,2332724781,1810395804,2421626238,1908045387,1525312160,1723856464,1634888030,1385155352
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1001503842,812942202,904659791.1,2096788700,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000,1788110000,1989040000,1093600000,2221390000,1488430000,2007290000,1809860000,2221250000,3594550000,2499330000,3216630000,4405520000
